Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12363,10/9/2023,0.133440589,0.15705338,0.159048109,21,100
Market-Adjusted Model,12366,10/9/2023,0.129458819,0.149471019,0.15506634,21,100
Market-Adjusted Model,12367,10/9/2023,0.091388811,0.239635008,0.116996332,21,100
Market-Adjusted Model,12368,10/9/2023,-0.054805244,-0.030084781,-0.029197723,21,100
Market-Adjusted Model,12369,10/9/2023,-0.103130825,-0.080258412,-0.077523304,21,100
Market-Adjusted Model,12370,10/9/2023,-0.011498116,0.018000355,0.014109405,21,100
Market-Adjusted Model,12372,10/9/2023,-0.042179954,-0.012659675,-0.016572434,21,100
Market-Adjusted Model,12373,10/9/2023,-0.10053837,-0.077959705,-0.07493085,21,100
Market-Adjusted Model,12376,10/9/2023,-0.04771119,-0.021163908,-0.02210367,21,100
Market-Adjusted Model,12377,10/9/2023,-0.059349632,-0.030955964,-0.033742111,21,100
Market-Adjusted Model,12380,10/9/2023,0.139560151,0.159578828,0.165167671,21,100
Market-Adjusted Model,12385,10/9/2023,-0.070694579,-0.046133634,-0.045087058,21,100
Market-Adjusted Model,12391,10/9/2023,-0.005764953,0.020878319,0.019842568,21,100
Market-Adjusted Model,12397,10/9/2023,0.167785226,0.267932334,0.193392746,21,100
Market-Adjusted Model,12400,10/9/2023,-0.091105129,-0.067472041,-0.065497609,21,100
Market-Adjusted Model,12411,10/9/2023,-0.124352277,-0.099607096,-0.098744756,21,100
Market-Adjusted Model,12412,10/9/2023,-0.066801053,-0.042872588,-0.041193533,21,100
Market-Adjusted Model,12431,10/9/2023,-0.062609144,-0.034915234,-0.037001623,21,100
Market-Adjusted Model,12442,10/9/2023,-0.032838169,0.005818735,-0.007230648,21,100
Market-Adjusted Model,12443,10/9/2023,0.014901158,0.054547803,0.040508679,21,100
Market-Adjusted Model,12447,10/9/2023,0.072407014,0.106259114,0.098014535,21,100
Market-Adjusted Model,12449,10/9/2023,-0.117267956,-0.097033376,-0.091660435,21,100
Market-Adjusted Model,12452,10/9/2023,-0.083832349,-0.058344717,-0.058224829,21,100
Market-Adjusted Model,12453,10/9/2023,0.001731364,0.026953079,0.027338884,21,100
Market-Adjusted Model,12457,10/9/2023,-0.013235799,0.013228723,0.012371721,21,100
Market-Adjusted Model,12461,10/9/2023,-0.115961735,-0.09575815,-0.090354215,21,100
Market-Adjusted Model,12462,10/9/2023,-0.076779582,-0.051876622,-0.051172062,21,100
Market-Adjusted Model,12472,10/9/2023,-0.118892436,-0.097677224,-0.093284915,21,100
Market-Adjusted Model,12473,10/9/2023,-0.009703002,0.026307422,0.015904519,21,100
Market-Adjusted Model,12476,10/9/2023,0.023211738,0.051066396,0.048819259,21,100
Market-Adjusted Model,12477,10/9/2023,-0.123825817,-0.10403101,-0.098218296,21,100
Market-Adjusted Model,12480,10/9/2023,0.031250002,0.058232674,0.056857523,21,100
Market-Adjusted Model,12487,10/9/2023,-0.114827586,-0.085438817,-0.089220066,21,100
Market-Adjusted Model,12488,10/9/2023,-0.154285701,-0.122969622,-0.128678181,21,100
Market-Adjusted Model,12490,10/9/2023,-0.071676527,-0.048286142,-0.046069007,21,100
Market-Adjusted Model,12495,10/9/2023,-0.034031384,0.021428162,-0.008423864,21,100
Market-Adjusted Model,12497,10/9/2023,-0.033535205,0.206218364,-0.007927685,21,100
Market-Adjusted Model,12500,10/9/2023,-0.059405947,0.009593217,-0.033798426,21,100
Market-Adjusted Model,12505,10/9/2023,-0.010439817,0.015088355,0.015167704,21,100
Market-Adjusted Model,12508,10/9/2023,-0.049014186,-0.024250485,-0.023406665,21,100
Market-Adjusted Model,12510,10/9/2023,0.094623687,0.117326868,0.120231208,21,100
Market-Adjusted Model,12513,10/9/2023,-0.074736843,-0.04854691,-0.049129323,21,100
Market-Adjusted Model,12514,10/9/2023,-0.114777569,-0.094539752,-0.089170048,21,100
Market-Adjusted Model,12515,10/9/2023,-0.034918092,-0.00628523,-0.009310571,21,100
Market-Adjusted Model,12516,10/9/2023,-0.057466109,-0.033294503,-0.031858588,21,100
Market-Adjusted Model,12523,10/9/2023,-0.026197821,0.00064465,-0.0005903,21,100
Market-Adjusted Model,12527,10/9/2023,-0.028064556,0.0249729,-0.002457035,21,100
Market-Adjusted Model,12528,10/9/2023,-0.036472599,-0.009603807,-0.010865079,21,100
Market-Adjusted Model,12530,10/9/2023,0.106116086,0.133115851,0.131723606,21,100
Market-Adjusted Model,12531,10/9/2023,0.113973818,0.162913297,0.139581339,21,100
Market-Adjusted Model,12533,10/9/2023,-0.081428985,-0.057814324,-0.055821464,21,100
Market-Adjusted Model,12534,10/9/2023,-0.100090132,-0.076903633,-0.074482612,21,100
Market-Adjusted Model,12535,10/9/2023,-0.047619144,-0.022165548,-0.022011623,21,100
Market-Adjusted Model,12536,10/9/2023,-0.060589225,-0.03562152,-0.034981704,21,100
Market-Adjusted Model,12537,10/9/2023,-0.011698043,0.013545709,0.013909478,21,100
Market-Adjusted Model,12540,10/9/2023,-0.048415426,-0.021132714,-0.022807906,21,100
Market-Adjusted Model,12543,10/9/2023,-0.04619359,-0.021513079,-0.02058607,21,100
Market-Adjusted Model,12552,10/9/2023,-0.045965282,-0.021275664,-0.020357761,21,100
Market-Adjusted Model,12558,10/9/2023,0.022891515,0.049171241,0.048499035,21,100
Market-Adjusted Model,12564,10/9/2023,-0.03723407,-0.01205545,-0.011626549,21,100
Market-Adjusted Model,12565,10/9/2023,-0.027066894,-0.001921823,-0.001459373,21,100
Market-Adjusted Model,12566,10/9/2023,0.038321178,0.067347105,0.063928698,21,100
Market-Adjusted Model,12569,10/9/2023,-0.140845027,-0.121140883,-0.115237507,21,100
Market-Adjusted Model,12570,10/9/2023,-0.021466,0.006524935,0.004141521,21,100
Market-Adjusted Model,12573,10/9/2023,-0.197853031,-0.167564164,-0.172245511,21,100
Market-Adjusted Model,12577,10/9/2023,-0.241007219,-0.193648724,-0.215399698,21,100
Market-Adjusted Model,12578,10/9/2023,-0.047250953,-0.022560683,-0.021643433,21,100
Market-Adjusted Model,12579,10/9/2023,-0.16528929,-0.117007675,-0.139681769,21,100
Market-Adjusted Model,12583,10/9/2023,-0.155052821,-0.13673108,-0.129445301,21,100
Market-Adjusted Model,12591,10/9/2023,-0.087985881,-0.063592843,-0.062378361,21,100
Market-Adjusted Model,12592,10/9/2023,-4.11E-10,0.03761739,0.02560752,21,100
Market-Adjusted Model,12593,10/9/2023,-0.072601019,-0.048568901,-0.046993498,21,100
Market-Adjusted Model,12615,10/9/2023,-0.093055502,-0.070185456,-0.067447981,21,100
Market-Adjusted Model,12621,10/9/2023,-0.093629512,-0.070152264,-0.068021991,21,100
Market-Adjusted Model,12622,10/9/2023,-0.044912202,-0.018037054,-0.019304682,21,100
Market-Adjusted Model,12623,10/9/2023,0.075890163,0.103426215,0.101497684,21,100
Market-Adjusted Model,12625,10/9/2023,-0.046386776,-0.021774508,-0.020779256,21,100
Market-Adjusted Model,12628,10/9/2023,-0.06518281,-0.040664006,-0.039575289,21,100
Market-Adjusted Model,12629,10/9/2023,-0.034659814,-0.004176367,-0.009052293,21,100
Market-Adjusted Model,12631,10/9/2023,-0.00284408,0.022374855,0.022763441,21,100
Market-Adjusted Model,12633,10/9/2023,0.023407642,0.048536695,0.049015162,21,100
Market-Adjusted Model,12641,10/9/2023,-0.125190458,-0.104544877,-0.099582937,21,100
Market-Adjusted Model,12644,10/9/2023,0.005476074,0.032131386,0.031083594,21,100
Market-Adjusted Model,12646,10/9/2023,-0.075854754,-0.052382424,-0.050247233,21,100
Market-Adjusted Model,12647,10/9/2023,-0.060624262,-0.036061259,-0.035016741,21,100
Market-Adjusted Model,12648,10/9/2023,-0.07246369,-0.048103606,-0.046856169,21,100
Market-Adjusted Model,12649,10/9/2023,-0.038759653,-0.011546908,-0.013152133,21,100
Market-Adjusted Model,12651,10/9/2023,-0.066440832,-0.042610744,-0.040833312,21,100
Market-Adjusted Model,12652,10/9/2023,-0.08507751,-0.061485518,-0.05946999,21,100
Market-Adjusted Model,12654,10/9/2023,-0.068648584,-0.044876164,-0.043041063,21,100
Market-Adjusted Model,12655,10/9/2023,-0.060807544,-0.036712452,-0.035200024,21,100
Market-Adjusted Model,12656,10/9/2023,-0.053838512,-0.028503989,-0.028230991,21,100
Market-Adjusted Model,12657,10/9/2023,-0.046265019,-0.020545042,-0.020657499,21,100
Market-Adjusted Model,12658,10/9/2023,-0.059285708,-0.034298686,-0.033678187,21,100
Market-Adjusted Model,12659,10/9/2023,-0.043604604,-0.017897269,-0.017997083,21,100
Market-Adjusted Model,12662,10/9/2023,-0.05573727,-0.031441554,-0.030129749,21,100
Market-Adjusted Model,12666,10/9/2023,0.00386043,0.029046735,0.029467951,21,100
Market-Adjusted Model,12672,10/9/2023,0.032632123,0.057789922,0.058239643,21,100
Market-Adjusted Model,12673,10/9/2023,-0.042103793,-0.017095371,-0.016496273,21,100
Market-Adjusted Model,12675,10/9/2023,-0.029143287,-0.004045941,-0.003535766,21,100
Market-Adjusted Model,12676,10/9/2023,-0.041182927,-0.016377751,-0.015575406,21,100
Market-Adjusted Model,12680,10/9/2023,-0.014035073,0.012767707,0.011572447,21,100
Market-Adjusted Model,12681,10/9/2023,-0.070424441,-0.045645784,-0.044816921,21,100
Market-Adjusted Model,12684,10/9/2023,-0.020964345,0.008574365,0.004643176,21,100
Market-Adjusted Model,12690,10/9/2023,0.162011157,0.183458309,0.187618677,21,100
Market-Adjusted Model,12693,10/9/2023,-0.046689603,-0.020919551,-0.021082082,21,100
Market-Adjusted Model,12697,10/9/2023,-0.48134238,-0.483286264,-0.455734859,21,100
Market-Adjusted Model,12699,10/9/2023,-0.141065837,-0.108210095,-0.115458317,21,100
Market-Adjusted Model,12717,10/9/2023,-0.056985784,-0.031410404,-0.031378264,21,100
Market-Adjusted Model,12741,10/9/2023,-0.02408382,0.00126181,0.001523701,21,100
Market-Adjusted Model,12745,10/9/2023,0.084432764,0.108465206,0.110040285,21,100
Market-Adjusted Model,12747,10/9/2023,-0.038910506,-0.013883349,-0.013302986,21,100
Market-Adjusted Model,12751,10/9/2023,0.153153118,0.185838568,0.178760639,21,100
Market-Adjusted Model,12753,10/9/2023,-0.042498327,-0.017659334,-0.016890807,21,100
Market-Adjusted Model,12754,10/9/2023,-0.057650999,-0.03244147,-0.032043479,21,100
Market-Adjusted Model,12756,10/9/2023,0.003847467,0.03087336,0.029454987,21,100
Market-Adjusted Model,12759,10/9/2023,-0.028301864,0.007964463,-0.002694344,21,100
Market-Adjusted Model,12781,10/9/2023,-0.031694339,-0.004719455,-0.006086819,21,100
Market-Adjusted Model,12783,10/9/2023,-0.029588046,0.000912649,-0.003980526,21,100
Market-Adjusted Model,12786,10/9/2023,0.052690613,0.084738312,0.078298134,21,100
Market-Adjusted Model,12788,10/9/2023,0.008415141,0.047190743,0.034022662,21,100
